label,Rx39,Ry39,Rz39,Ry40,Rz40,Ry41,Rz41,Ry42,Rz44,Rz45,Rz46,Rz48,Rz49,Rz50,Rz52,Rz53,Rz54,Rz56,Rz57,Rz58
1,18.0015,-11.3837,-23.9867,-27.1308,-54.5555,20.2739,-6.6684,66.2816,-61.8468,-40.3179,-20.1589,3.52134,3.52134,3.52134,-63.7041,-63.7041,-63.7041,-65.8713,-65.8713,-65.8713
1,19.7259,-4.60456,-31.9245,-24.6415,-48.9659,25.2517,-1.07884,64.9306,-78.7192,-56.1331,-28.0665,4.38224,4.38224,4.38224,-66.0322,-66.0322,-66.0322,-71.2275,-71.2275,-71.2275
1,12.4485,23.3696,-56.0733,-60.6696,-39.2502,-46.8064,8.63718,-0.321093,-82.6656,2.21058,1.10529,-79.5191,-79.5191,-79.5191,-63.872,-63.872,-63.872,-56.682,-56.682,-56.682
4,-3.63727,-0.755474,-56.1213,-36.2153,-37.2395,2.10535,10.6438,15.882,16.5033,36.7823,18.3912,7.78424,7.78424,7.78424,-68.3883,-68.3883,-68.3883,3.89011,3.89011,3.89011
2,-1.98173,-20.8073,-21.4897,-8.99021,-35.1216,56.5559,12.762,3.55154,1.92863,46.3567,23.1784,-76.36,-76.36,-76.36,6.19219,6.19219,6.19219,-47.751,-47.751,-47.751
2,7.63697,-11.0076,-34.1429,-61.3545,-34.5385,-48.1721,13.3454,32.5913,-85.644,-28.7692,-14.3846,8.08804,8.08804,8.08804,-83.9255,-83.9255,-83.9255,-51.8637,-51.8637,-51.8637
2,-4.93845,-23.5536,-16.6468,-11.9216,-37.4976,50.69,10.3864,4.23255,10.3224,51.6472,25.8236,-79.3286,-79.3286,-79.3286,12.2533,12.2533,12.2533,-52.3247,-52.3247,-52.3247
4,-4.32454,-1.90656,-55.6061,-35.7482,-37.396,3.03945,10.4872,16.2112,27.8376,43.7097,21.8549,8.21623,8.21623,8.21623,-67.9697,-67.9697,-67.9697,5.01239,5.01239,5.01239
4,39.427,9.55246,-17.7275,-25.7259,-26.1672,23.0827,21.72,5.3426,-101.543,176.166,88.0832,-11.8049,-11.8049,-11.8049,6.4105,6.4105,6.4105,18.8326,18.8326,18.8326
1,9.08463,10.2478,-50.5598,-24.6705,-31.2392,25.1923,16.648,57.558,36.2992,35.7658,17.8829,-70.0744,-70.0744,-70.0744,-81.4943,-81.4943,-81.4943,-71.3033,-71.3033,-71.3033
1,32.337,-2.87942,-12.7323,-30.8264,-42.9591,12.8825,4.92798,62.4143,-78.433,-42.3639,-21.182,10.0243,10.0243,10.0243,-75.5895,-75.5895,-75.5895,-64.7519,-64.7519,-64.7519
2,-1.02285,-0.0318293,-35.106,-4.27618,-29.2763,65.9817,18.6077,9.45256,-104.31,-38.4417,-19.2208,12.0872,12.0872,12.0872,13.8729,13.8729,13.8729,-24.9723,-24.9723,-24.9723
4,15.3722,2.11691,-52.928,-36.1339,-33.9971,2.26587,13.8902,10.678,9.78637,54.2817,27.1409,-69.8155,-69.8155,-69.8155,-39.4277,-39.4277,-39.4277,19.0216,19.0216,19.0216
2,14.7598,-9.77774,-48.3409,-60.6631,-28.3226,-46.792,19.5648,34.572,-94.7762,-32.0595,-16.0297,1.16698,1.16698,1.16698,-86.061,-86.061,-86.061,-55.5517,-55.5517,-55.5517
4,35.553,6.1382,-15.4446,-29.2274,-28.2739,16.08,19.6132,3.3109,-111.674,-177.378,-88.689,8.99734,8.99734,8.99734,16.5531,16.5531,16.5531,18.7443,18.7443,18.7443
4,35.5686,6.11953,-15.4444,-29.2172,-28.2625,16.1005,19.6247,3.39543,-111.696,-177.486,-88.7431,8.9136,8.9136,8.9136,16.5543,16.5543,16.5543,18.6688,18.6688,18.6688
4,34.2341,6.81553,-17.8267,-39.6943,-23.9192,-4.85379,23.9679,4.4413,-92.5965,177.591,88.7953,-28.0696,-28.0696,-28.0696,-18.2115,-18.2115,-18.2115,17.747,17.747,17.747
1,7.97079,-10.3535,-43.2904,-22.3632,-64.0925,29.8087,-16.2048,-9.35472,-101.198,-16.3762,-8.18808,-68.7754,-68.7754,-68.7754,-10.4466,-10.4466,-10.4466,-49.7767,-49.7767,-49.7767
2,-3.38661,-22.1899,-24.2115,-7.9046,-34.1226,58.7268,13.7607,7.56831,-28.6662,30.2899,15.1449,-72.2815,-72.2815,-72.2815,-8.14385,-8.14385,-8.14385,-44.8978,-44.8978,-44.8978
3,-3.4324,32.2719,-36.6419,-28.3076,-58.4885,17.9218,-10.6015,16.3659,-77.4216,-69.853,-34.9265,6.43498,6.43498,6.43498,7.92833,7.92833,7.92833,5.95225,5.95225,5.95225
4,-1.45601,-10.8399,-31.5065,-42.1333,-42.4427,-9.73326,5.44134,17.3815,33.6516,54.3269,27.1635,7.89004,7.89004,7.89004,-65.6735,-65.6735,-65.6735,7.84971,7.84971,7.84971
2,3.52359,20.2608,-57.1318,-15.7856,-16.2863,42.9647,31.5978,9.99795,-123.653,-83.5906,-41.7953,-49.8761,-49.8761,-49.8761,-7.56006,-7.56006,-7.56006,12.6048,12.6048,12.6048
2,12.2527,-11.4868,-39.3155,-62.6367,-38.5611,-50.7391,9.32637,31.3164,-87.053,-32.2009,-16.1004,4.23898,4.23898,4.23898,-83.5535,-83.5535,-83.5535,-58.2423,-58.2423,-58.2423
1,31.2495,-5.8867,-12.6741,-33.7308,-44.2354,7.0739,3.65158,62.7847,-74.7076,-40.4378,-20.2189,14.5713,14.5713,14.5713,-76.6121,-76.6121,-76.6121,-65.1994,-65.1994,-65.1994
4,19.9977,-1.41596,-20.6553,-8.50275,-58.8152,57.5292,-10.9281,1.84523,13.6291,-3.16731,-1.58366,16.6174,16.6174,16.6174,17.9398,17.9398,17.9398,14.0777,14.0777,14.0777
4,4.92034,-13.3946,-23.0303,-3.98327,-55.7468,66.5683,-7.85955,2.4599,11.3947,27.895,13.9475,3.96213,3.96213,3.96213,5.90447,5.90447,5.90447,33.4473,33.4473,33.4473
1,12.8953,-9.6682,-78.343,-24.5371,-47.0851,25.4606,0.801824,42.3571,-94.3948,-38.6676,-19.3338,-92.6519,-92.6519,-92.6519,-43.2295,-43.2295,-43.2295,-20.698,-20.698,-20.698
2,0.0796949,3.20565,-36.914,-4.04592,-31.5912,66.4419,16.2928,9.33076,-104.122,-50.3974,-25.1987,8.29804,8.29804,8.29804,5.04963,5.04963,5.04963,-29.7222,-29.7222,-29.7222
2,4.20905,-3.1385,-60.945,-53.552,-38.7177,-32.5698,9.16954,19.8354,-86.2389,-18.93,-9.46499,-73.7677,-73.7677,-73.7677,-51.6068,-51.6068,-51.6068,15.1949,15.1949,15.1949
4,20.6022,0.912669,-41.4296,-29.2984,-24.3515,15.9371,23.536,0.280783,-8.84419,55.2454,27.6227,-69.083,-69.083,-69.083,8.23003,8.23003,8.23003,19.8499,19.8499,19.8499
4,26.1109,-8.69925,-18.3804,-45.605,-29.9222,-16.6731,17.9622,13.2134,9.8118,50.0952,25.0476,5.67514,5.67514,5.67514,7.3766,7.3766,7.3766,-62.6969,-62.6969,-62.6969
1,-5.97649,2.01752,-37.8769,-10.1652,-56.071,54.2028,-8.18698,-68.9671,-74.1271,-46.0349,-23.0174,-65.5399,-65.5399,-65.5399,-3.87658,-3.87658,-3.87658,-47.141,-47.141,-47.141
2,-11.9676,-1.19509,-37.4942,-6.42791,-30.6559,61.677,17.2283,7.05443,9.83909,52.7032,26.3516,-108.999,-108.999,-108.999,-77.7409,-77.7409,-77.7409,7.91661,7.91661,7.91661
1,23.1375,-4.33595,-18.1811,-24.8031,-48.4412,24.9291,-0.55417,64.7563,-77.7859,-55.3789,-27.6894,-13.5228,-13.5228,-13.5228,-65.5986,-65.5986,-65.5986,-70.6828,-70.6828,-70.6828
2,-5.316,-30.5578,-13.9331,-8.71778,-38.0143,57.0979,9.86965,3.74382,10.0202,49.9327,24.9663,-79.6011,-79.6011,-79.6011,0.9596,0.9596,0.9596,-50.4089,-50.4089,-50.4089
3,38.262,-4.58516,17.5982,-11.6601,-51.8569,51.2137,-3.97015,34.8506,-12.2369,17.5801,8.79004,-3.32703,-3.32703,-3.32703,-13.0859,-13.0859,-13.0859,-84.4072,-84.4072,-84.4072
2,0.528788,5.48857,-56.9307,-55.723,-46.2847,-36.9096,1.59881,33.6388,-83.5693,-40.4318,-20.2159,-70.42,-70.42,-70.42,19.3816,19.3816,19.3816,-76.8303,-76.8303,-76.8303
2,-3.05415,-7.93075,-24.1664,-7.10208,-32.0316,60.3297,15.8525,9.62594,-95.1708,-80.0615,-40.0307,12.0858,12.0858,12.0858,-92.5783,-92.5783,-92.5783,8.65054,8.65054,8.65054
4,35.5661,6.13674,-15.4433,-29.2274,-28.2739,16.08,19.6132,3.28175,-111.631,-177.242,-88.6211,9.05639,9.05639,9.05639,16.5531,16.5531,16.5531,18.7695,18.7695,18.7695
2,-1.0014,20.9567,-58.5285,-14.4997,-16.0656,45.5363,31.8186,11.2227,-135.318,-91.0126,-45.5063,-51.1541,-51.1541,-51.1541,11.3976,11.3976,11.3976,26.2684,26.2684,26.2684
2,-0.917043,0.0375642,-35.0868,-4.32713,-29.233,65.8798,18.651,9.44686,-104.368,-38.3749,-19.1875,12.0982,12.0982,12.0982,13.8242,13.8242,13.8242,-24.8702,-24.8702,-24.8702
5,6.84295,8.36133,37.7733,-51.0677,-18.6605,-0.778512,7.109,22.4798,5.02303,5.02303,5.02303,2.53358,2.53358,2.53358,6.06392,6.06392,6.06392,6.91853,6.91853,6.91853
3,2.83229,13.4544,-48.2222,-21.6882,-61.4729,31.1618,-13.5855,17.4859,-75.8602,-51.8173,-25.9087,3.17237,3.17237,3.17237,5.02773,5.02773,5.02773,6.68478,6.68478,6.68478
